investorid,investorname,companyid
383,Lightspeed Venture Partners,131
384,Crosslink Capital,131
385,Sequoia Capital,132
386,Google Ventures,132
387,Accel,132
388,Lightspeed Venture Partners,133
389,Redpoint Ventures,133
390,Viking Global Investors,133
391,Benchmark,134
392,Accel,134
393,SoftBank Group,134
394,Playground Global,135
395,Bond,135
396,Tribe Capital,135
397,Sequoia Capital China,136
398,Qiming Venture Partners,136
399,Tencent Holdings,136
400,Addition,137
401,Benhcmark,137
402,Accel,137
403,Lightspeed Venture Partners,138
404,Khosla Ventures,138
405,Geodesic Capital,138
406,Vista Equity Partners,139
407,Wincove,139
408,TDR Capital,139
409,Andreessen Horowitz,140
410,Amplify Partners,140
411,Sequoia Capital,140
412,Venrock,141
413,Institutional Venture Partners,141
414,Goldman Sachs,141
415,Speedinvest,142
416,Valar Ventures,142
417,Uniqa Ventures,142
418,Goodwater Capital,143
419,iFly,143
420,XVC Venture Capital,143
421,New Enterprise Associates,144
422,Sequoia Capital,144
423,Comcast Ventures,144
424,Formation 8,145
425,Ant Financial Services Group,146
426,Russia-China Investment Fund,146
427,Foxconn Technology Company,146
428,SoftBank Group,147
429,General Atlantic,147
430,Khosla Ventures,148
431,Horizons Ventures,148
432,Temasek Holdings,148
433,New Enterprise Associates,149
434,Starr Investment Holdings,149
435,Zeev Ventures,150
436,Ribbit Capital,150
437,TLV Partners,150
438,Index Ventures,151
439,Thrive Capital,151
440,CRV,151
441,Dragoneer Investment Group,152
442,Hellman & Friedman,152
443,JMI Equity,152
444,Accel,153
445,Insight Partners,153
446,Bond Capital,153
447,Drive Capital,154
448,General Catalyst,154
449,Ascension Ventures,154
450,Greylock Partners,155
451,Lightspeed Venture Partners,155
452,Khosla Ventures,155
453,Accel,156
454,Aleph,156
455,American Express Ventures,156
456,SoftBank Group,157
457,Norwest Venture Partners,157
458,Georgian Partners,158
459,Craft Ventures,158
460,Benchmark,159
461,Foundation Capital,159
462,Sequoia Capital,159
463,Blackrock,160
464,Kleiner Perkins Caulfield & Byers,160
465,Google Ventures,160
466,New Enterprise Associates,161
467,Pear,161
468,Cowboy Ventures,161
469,Fifth Wall Ventures,162
470,Energize Ventures,162
471,	ICONIQ Capital,162
472,China Health Industry Investment Fund,163
473,China Renaissance,163
474,and Sequoia Capital China,163
475,New Enterprise Associates,164
476,New Leaf Venture Partners,164
477,Charter Venture Capital,164
478,Google Ventures,165
479,Battery Ventures,165
480,DST Global,165
481,Y Combinator,166
482,Atomico,166
483,Accel,166
484,General Atlantic,167
485,Blackstone,167
486,ICONIQ Growth,167
487,Blackstone,168
488,ICONIQ Growth,168
489,General Atlantic,168
490,Tiger Global Management,169
491,American Express Ventures,169
492,B Capital Group,169
493,Casa Verde Capital,170
494,Gron Ventures,170
495,Thrity Five Ventures,170
496,SoftBank Group,171
497,Sequoia Capital,171
498,Wing Venture Capital,171
499,Norwest Venture Partners,172
500,Goldman Sachs,172
501,Dell Technologies Capital,172
502,Upfront Ventures,173
503,Webb Investment Network,173
504,D1 Capital Partners,173
505,Qualcomm Ventures,174
506,Samsung Ventures,174
507,Silver Lake,174
508,Breakthrough Energy Ventures,175
509,Capricorn Investment Group,175
510,Valor Equity Partners,175
511,Bessemer Venture Partners,176
512,Insight Partners,176
513,New Era Ventures,176
514,India Quotient,177
515,Elevation Capital,177
516,Lightspeed Venture Partners,177
517,Silver Lake,178
518,ICONIQ Capital,178
519,NextView Ventures,179
520,Promus Ventures,179
521,Two Sigma Ventures,179
522,Andreessen Horowitz,180
523,Lux Capital,180
524,General Catalyst,180
525,NewView Capital,181
526,Maveron,181
527,Ridge Ventures,181
528,EQT Partners,182
529,Activant Capital Group,183
530,Alaska Permanent Fund,183
531,Baillie Gifford & Co.,183
532,None,184
533,First Round Capital,185
534,Sequoia Capital,185
535,Index Ventures,185
536,Fairfax Financial Holdings,186
537,A91 Partners,186
538,TVS Capital,186
539,General Catalyst,187
540,HCA Healthcare,187
